node1,node2,free_bw,used_bw,delay,pkloss
1,3,96296.634337,3703180.53218,2.965689,0.0
1,7,99237.0043,762919.423743,3.982306,0.0
1,16,97217.044591,2782955.40892,2.373576,0.0
2,4,96273.169366,3726830.63387,0.913024,0.016609
2,7,99859.166083,140819.83744,1.000285,0.0
2,12,96195.704859,3804295.140974,0.796318,0.180505
2,13,99996.232753,3767.246551,0.896811,0.0
2,18,24678.032394,321967.606479,0.792742,0.0
2,23,24745.962807,254037.192561,0.976682,0.0
3,10,96326.431357,3673385.001432,3.018737,0.0
3,11,24987.889211,12110.183503,2.870798,0.0
3,14,1549.808038,191.961608,1.922011,0.0
3,21,99958.092191,41905.714248,4.325151,0.0
4,16,96273.169366,3726830.63387,0.565529,0.016611
5,8,24999.808038,191.952012,1.77753,0.0
5,16,24971.205759,28792.801871,0.78702,0.0
6,7,1400.822918,149169.624929,1.895547,0.0
6,19,1512.859714,37140.285971,1.964092,0.0
7,17,99712.593481,286810.637872,2.941251,0.434783
7,19,24981.929807,18069.289652,1.222253,0.0
7,21,99701.867626,298132.373525,0.962257,0.0
8,9,22656.804639,2342599.480106,0.760674,0.012708
9,15,24999.808038,191.961608,0.860095,0.0
9,16,93837.784222,6161907.729244,1.254559,0.004833
10,11,24999.808019,191.971205,3.410459,0.0
10,12,96286.278744,3713125.374925,2.880335,0.016472
10,16,99387.181282,612788.08332,1.95384,0.087719
10,17,99426.570686,573429.314138,2.477288,0.0
12,22,99914.0012,85994.501589,2.720356,0.0
13,14,1548.616277,1383.723255,2.700329,0.0
13,17,99995.040992,4959.008198,2.966762,0.0
13,19,24961.719656,38280.343931,0.779986,0.0
15,20,24996.232753,3767.246551,7.452726,0.0
17,20,99973.637273,26362.727454,1.001477,0.0
17,23,24747.154569,252845.430914,0.892043,0.0
18,21,24838.920216,161079.784043,0.745535,0.0
20,22,24999.808038,191.961608,2.993941,0.0
