node1,node2,free_bw,used_bw,delay,pkloss
1,3,99674.457109,325542.891422,2.414465,0.0
1,7,99729.278144,270112.502342,1.030207,0.086281
1,16,98331.389722,1668014.397121,1.034498,0.017762
2,4,99834.153169,165838.540779,3.278613,0.0
2,7,99898.508298,101486.628597,3.02279,0.0
2,12,99818.660268,181330.667786,2.433777,0.0
2,13,99697.10058,302303.539292,4.030824,0.097943
2,18,24991.465707,8533.866555,2.214193,0.0
2,23,24911.626512,87782.024921,2.860308,0.0
3,10,99997.424515,2575.356167,2.358913,0.0
3,11,24998.616415,1383.584925,2.995729,0.0
3,14,1397.262547,152729.817927,0.766873,0.0
3,21,99825.810838,174180.455322,0.918031,0.0
4,16,99834.153169,165838.540779,3.341794,0.0
5,8,24997.424773,2575.227432,1.022816,0.0
5,16,24991.465707,8533.866555,2.977014,0.0
6,7,1505.717285,44282.715185,0.723362,0.0
6,19,1548.616277,1383.65409,0.955701,0.0
7,17,99638.740378,361259.622113,0.734687,0.0
7,19,24997.424515,2575.356167,0.726104,0.0
7,21,99954.521096,45476.630956,3.747225,0.0
8,9,24983.123375,16875.781097,4.189134,0.0
9,15,24997.424515,2575.356167,3.046036,0.0
9,16,98263.411318,1735992.80144,3.110051,0.017141
10,11,24998.616277,1359.661288,13.326406,0.0
10,12,99993.849845,6150.154954,3.517032,0.0
10,16,99894.943517,105037.739628,0.812888,1.190476
10,17,99894.933013,105061.734829,2.503157,0.0
12,22,99997.424773,2575.227432,0.84281,0.0
13,14,1398.454309,151538.11585,1.018047,0.0
13,17,99846.086174,153325.639181,1.057863,0.19305
13,19,24998.616277,1383.65409,1.140833,0.0
15,20,24996.23313,3766.869939,1.036048,0.0
17,20,99998.616415,1383.584925,1.10805,0.0
17,23,24910.425915,89574.085183,1.012325,0.0
18,21,24872.289542,127710.457908,2.255321,0.0
20,22,24999.808058,191.942417,1.092672,0.0
