node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808019,191.980802,1.648903,0.0
1,7,99999.808,192.0,0.953317,0.0
1,16,99999.808,191.990401,1.430869,0.0
2,4,99999.808,191.990401,2.458692,0.0
2,7,99999.808,191.990401,1.635313,0.0
2,12,99999.808,192.0,1.158714,0.0
2,13,99999.808,192.0,1.407743,0.0
2,18,24999.808,191.990401,1.181364,0.0
2,23,24999.808019,191.980802,1.833677,0.0
3,10,99999.808,191.990401,1.771569,0.0
3,11,24999.808019,191.980802,1.214147,0.0
3,14,1549.808019,191.980802,1.923919,0.0
3,21,99999.808,191.990401,2.407312,0.0
4,16,99999.808,191.990401,1.547217,0.0
5,8,24999.808,191.990401,1.958013,0.0
5,16,24999.808,192.0,1.35529,0.0
6,7,1549.856,143.992801,0.994444,0.0
6,19,1549.808,191.990401,2.653241,0.0
7,17,99999.808,191.990401,1.613617,12.5
7,19,24999.808,192.0,2.095103,0.0
7,21,99999.808,192.0,1.26636,0.0
8,9,24999.808019,191.980802,1.24228,0.0
9,15,24999.808019,191.980802,1.208782,0.0
9,16,99999.808,191.990401,1.263142,0.0
10,11,24999.808,191.990401,2.23875,0.0
10,12,99999.808,191.990401,1.83475,0.0
10,16,99999.808,192.0,1.920938,0.0
10,17,99999.808019,191.980802,2.253294,0.0
12,22,99999.808,192.0,1.534581,0.0
13,14,1549.808,191.990401,1.722813,0.0
13,17,99999.808019,191.980802,1.533151,0.0
13,19,24999.808,192.0,1.554728,0.0
15,20,24999.808019,191.980802,1.80161,0.0
17,20,99999.808019,191.980802,12.192607,0.0
17,23,24999.808019,191.980802,1.63579,0.0
18,21,24999.808,192.0,1.583338,0.0
20,22,24999.808,191.990401,1.944661,0.0
