node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807364,192.635698,1.704216,0.0
1,7,99999.807345,192.645362,1.562476,0.0
1,16,99999.807345,192.645362,1.365423,0.0
2,4,99999.807345,192.655027,1.458645,0.0
2,7,99999.807345,192.655027,1.482964,0.0
2,12,99999.807345,192.655027,1.150966,0.0
2,13,99999.807345,192.645362,0.971317,0.0
2,18,24999.807345,192.655027,1.382709,0.0
2,23,24999.807326,192.664694,1.158237,0.0
3,10,99999.807364,192.635698,2.385974,0.0
3,11,24999.807345,192.645362,1.733541,0.0
3,14,1549.807384,192.616372,1.744628,0.0
3,21,99999.807345,192.645362,1.969695,0.0
4,16,99999.807345,192.655027,1.58155,0.0
5,8,24999.807345,192.6357,1.45793,0.0
5,16,24999.807345,192.655027,1.030922,0.0
6,7,1549.807345,192.645362,2.6685,0.0
6,19,1549.807364,192.635698,1.744032,0.0
7,17,99999.807345,192.655027,1.700163,0.0
7,19,24999.855509,144.484022,1.535058,0.0
7,21,99999.807345,192.655027,1.832485,0.0
8,9,24999.807364,192.635698,1.459837,0.0
9,15,24999.807326,192.655029,0.603557,0.0
9,16,99999.807345,192.655027,1.281142,0.0
10,11,24999.807345,192.645362,1.890421,0.0
10,12,99999.807345,192.645362,1.988053,0.0
10,16,99999.807345,192.645362,2.333283,0.0
10,17,99999.807345,192.645362,1.779079,0.0
12,22,99999.807345,192.655027,1.860261,0.0
13,14,1549.807364,192.626035,1.075864,0.0
13,17,99999.807345,192.645362,1.326919,0.0
13,19,24999.855523,144.476773,1.535892,0.0
15,20,24999.807345,192.655027,1.308203,0.0
17,20,99999.807326,192.664694,10.957003,0.0
17,23,24999.807345,192.655027,1.338482,0.0
18,21,24999.807345,192.645362,1.595974,0.0
20,22,24999.807345,192.655027,1.641273,0.0
