node1,node2,free_bw,used_bw,delay,pkloss
1,3,99751.524816,248462.803945,0.878692,0.0
1,7,99730.141519,269777.84616,1.131535,0.0
1,16,98108.763328,1891048.245159,0.933647,0.016364
2,4,99749.223872,250751.148135,0.738263,0.0
2,7,99951.116868,48875.829153,0.790596,0.0
2,12,99952.309225,47686.024978,0.936389,0.0
2,13,99996.244768,3754.484007,1.127124,0.0
2,18,24837.122933,162877.067145,1.182795,0.0
2,23,24989.121339,10878.119268,0.851512,0.0
3,10,99864.381104,135618.895754,1.091599,0.0
3,11,24998.565022,1434.83461,0.975609,0.0
3,14,1548.62069,1379.24162,1.080751,0.0
3,21,99856.079721,143913.108822,1.019239,0.0
4,16,99749.223872,250738.661772,1.247883,0.0
5,8,24999.808651,191.311287,1.293421,0.0
5,16,24993.870678,6128.710959,1.078963,0.0
6,7,1505.858495,44130.513323,1.000047,0.0
6,19,1548.620827,1379.172895,1.012802,0.0
7,17,99973.628213,26369.160537,0.900745,0.0
7,19,24996.245142,3753.923022,1.227975,0.0
7,21,99795.520128,204439.139417,0.869632,0.0
8,9,24985.553119,14445.4411,1.149535,0.0
9,15,24999.808689,191.27317,1.11258,0.0
9,16,98263.355919,1736557.569198,0.941038,0.0
10,11,24997.480566,2519.057403,1.034975,0.0
10,12,99826.366354,173590.405829,1.185775,0.0
10,16,99701.678294,298262.267724,0.953436,0.0
10,17,99996.244768,3754.484007,1.322627,0.0
12,22,99997.434007,2565.86484,1.123428,0.0
13,14,1548.564879,1435.12059,1.057863,0.0
13,17,99996.244394,3754.671151,0.929952,0.0
13,19,24997.432729,2567.143362,0.930667,0.0
15,20,24998.621377,1378.554712,0.950575,0.0
17,20,99996.246264,3753.548846,0.925899,0.0
17,23,24990.308826,9690.690864,0.856519,0.0
18,21,24718.318055,281653.883437,0.982523,0.0
20,22,24999.808746,191.254109,1.113296,0.0
