node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807981,192.019202,1.60265,0.0
1,7,99999.807981,192.000002,1.256347,0.0
1,16,99999.808,192.0,1.712918,0.0
2,4,99999.808,192.0,1.441836,0.0
2,7,99999.808,191.990401,1.60861,0.0
2,12,99999.808019,191.980802,0.942826,0.0
2,13,99999.807962,192.009605,1.271486,0.0
2,18,24999.808019,191.980802,1.306176,0.0
2,23,24999.808,191.990401,1.639009,0.0
3,10,99999.807981,192.019202,1.166224,0.0
3,11,24999.807981,192.009601,2.007127,0.0
3,14,1549.807962,192.028805,1.451015,0.0
3,21,99999.807981,192.009601,1.383424,0.0
4,16,99999.808,191.990401,1.250267,0.0
5,8,24999.807962,192.009605,0.984311,0.0
5,16,24999.808019,191.980802,1.492262,0.0
6,7,1549.808,191.990401,1.590729,0.0
6,19,1549.807981,192.009601,1.183867,0.0
7,17,99999.808,191.990401,0.812173,0.0
7,19,24999.807981,192.000002,1.078248,0.0
7,21,99999.808,191.990401,1.442432,0.0
8,9,24999.807962,192.019204,1.629591,0.0
9,15,24999.808,191.990401,1.548052,0.0
9,16,99999.808,191.990401,1.074195,0.0
10,11,24999.807981,192.009601,1.510978,0.0
10,12,99999.807981,192.000002,1.368761,0.0
10,16,99999.807981,192.009601,1.281619,12.5
10,17,99999.807981,192.009601,1.453876,0.0
12,22,99999.856014,143.985601,0.97394,0.0
13,14,1549.807962,192.038408,1.285315,0.0
13,17,99999.855971,144.007204,1.106143,0.0
13,19,24999.807962,192.019204,1.247525,0.0
15,20,24999.808019,191.980802,1.131654,0.0
17,20,99999.808,191.990401,1.636028,0.0
17,23,24999.808019,191.980802,1.607537,0.0
18,21,24999.808,191.990401,1.202703,0.0
20,22,24999.808019,191.980802,1.21057,0.0
