node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808134,191.856108,1.247525,0.0
1,7,99999.807962,191.942465,1.971722,0.0
1,16,99999.807962,191.952051,2.25687,0.0
2,4,99999.807962,192.028805,1.027942,0.0
2,7,99999.807962,192.028805,1.061201,0.0
2,12,99999.807962,192.038408,1.275301,0.0
2,13,99999.855971,143.956849,1.522422,0.0
2,18,24999.807962,192.038408,1.51813,0.0
2,23,24999.807962,192.038408,0.909328,0.0
3,10,99999.808134,191.856108,1.743555,0.0
3,11,24999.807981,191.932862,2.013803,0.0
3,14,1549.808153,191.846523,2.254367,0.0
3,21,99999.807962,191.942465,1.871586,0.0
4,16,99999.807962,192.038408,1.308084,0.0
5,8,24999.807962,191.952051,1.548052,0.0
5,16,24999.855971,144.028806,8.413672,0.0
6,7,1549.807962,191.952051,1.077771,0.0
6,19,1549.808134,191.856108,1.633644,0.0
7,17,99999.807962,192.028805,1.292109,0.0
7,19,24999.807962,191.952051,2.14529,0.0
7,21,99999.807962,192.038408,1.375079,0.0
8,9,24999.807981,191.942448,1.054645,0.0
9,15,24999.807981,192.019202,1.483083,0.0
9,16,99999.807962,192.038408,0.996113,0.0
10,11,24999.807981,191.932862,1.390338,0.0
10,12,99999.807962,191.952051,1.54686,0.0
10,16,99999.807962,191.942465,2.090454,0.0
10,17,99999.807981,191.942448,1.662731,0.0
12,22,99999.807962,192.038408,1.681089,0.0
13,14,1549.808153,191.846523,1.342535,0.0
13,17,99999.807981,191.942448,1.383901,0.0
13,19,24999.808153,191.846523,2.064228,0.0
15,20,24999.807981,192.019202,1.22273,0.0
17,20,99999.807981,192.019202,1.415491,0.0
17,23,24999.807962,192.028805,1.959562,0.0
18,21,24999.807962,192.028805,1.500845,0.0
20,22,24999.807962,192.038408,1.815796,0.0
