node1,node2,free_bw,used_bw,delay,pkloss
1,3,99792.489502,207510.4979,1.141906,0.0
1,7,95815.532893,4184080.368608,4.001617,0.007142
1,16,99556.472705,442335.532893,9.400129,0.144509
2,4,97542.149785,2457850.214978,1.152277,0.01262
2,7,97562.411759,2437588.241176,1.177192,0.0
2,12,99736.40236,263597.640236,1.028419,0.0
2,13,99806.761971,192055.926913,1.025796,0.485437
2,18,24838.90411,161095.890411,0.881195,0.0
2,23,24996.232377,3767.434894,0.982523,0.0
3,10,98224.083183,1775916.816637,2.499819,0.0
3,11,24968.822236,31177.764447,2.545357,0.0
3,14,1549.808038,191.952012,2.234936,0.0
3,21,98389.738052,1609666.066787,2.859592,0.018713
4,16,97542.149785,2457727.347041,0.803709,0.0
5,8,23264.429557,1734801.116709,2.938867,0.0
5,16,23265.621438,1734291.860556,0.921369,0.017159
6,7,1549.808019,191.96161,2.685189,0.0
6,19,1478.30234,71694.07666,3.439546,0.0
7,17,99836.520348,163479.652035,4.149199,0.0
7,19,24989.081092,10918.362273,0.861287,0.0
7,21,98382.425757,1617493.380036,0.966907,0.0
8,9,24999.808058,191.942417,0.9197,0.0
9,15,24999.808,191.971209,1.052856,0.0
9,16,97590.065987,2409934.013197,0.711322,0.0
10,11,24964.055189,35944.811038,2.557516,0.0
10,12,99563.579642,436398.54131,2.168894,0.0
10,16,97979.772046,2019632.073585,2.853632,0.141844
10,17,99821.025897,178956.210547,3.047943,0.0
12,22,99992.656734,7343.265673,0.871062,0.0
13,14,1548.616415,1383.584925,5.928516,0.0
13,17,99885.39892,114010.868859,2.975702,0.377358
13,19,24916.393082,83606.917925,0.967741,0.0
15,20,24997.424258,2575.742426,1.106739,0.0
17,20,99954.516548,45483.451655,1.099586,0.0
17,23,24997.424258,2575.613664,0.969648,0.0
18,21,24946.173383,53821.236291,0.785589,0.0
20,22,24959.284072,40715.928407,1.013756,0.0
