node1,node2,free_bw,used_bw,delay,pkloss
1,3,99507.462746,492537.253726,1.764774,0.0
1,7,99805.492549,194507.450745,0.840425,0.0
1,16,99772.113211,227875.394339,3.80981,0.0
2,4,99961.656331,38341.751359,1.894712,0.0
2,7,99761.384138,238615.861586,3.37851,0.0
2,12,99739.89998,260087.013702,2.9006,0.0
2,13,99935.433543,64563.228323,2.952337,0.0
2,18,24871.059106,128940.894089,1.657009,0.0
2,23,24998.615862,1384.138414,2.877116,0.0
3,10,99952.123212,47876.787679,2.380133,0.0
3,11,24931.857186,68142.814281,1.981854,0.0
3,14,1547.423742,2576.128813,3.017426,0.0
3,21,99489.580958,510419.041904,1.990676,0.0
4,16,99961.656331,38341.751359,3.808975,0.0
5,8,24999.807962,192.028805,2.756238,0.0
5,16,24999.807962,192.028805,1.458168,0.0
6,7,1535.5011,14498.174762,0.998378,0.0
6,19,1410.330033,139662.983498,2.318501,0.0
7,17,99917.551755,82448.244824,0.925541,0.0
7,19,24823.374337,176625.662566,1.371264,0.0
7,21,99531.305131,468694.869487,2.665281,0.0
8,9,24986.694669,13304.665267,0.785828,0.0
9,15,24999.807981,192.009601,0.966787,0.0
9,16,99949.738974,50261.026103,1.755595,0.0
10,11,24999.807981,192.009601,3.89576,0.0
10,12,99989.078908,10921.092109,1.930118,0.0
10,16,99856.753675,143246.324633,2.891183,0.0
10,17,99877.019702,122974.149015,2.756596,0.0
12,22,99928.273655,71722.758593,2.272129,0.0
13,14,1547.424,2576.0,1.922965,0.0
13,17,99939.009901,60987.049505,2.378464,0.0
13,19,24989.128,10872.0,1.342893,0.0
15,20,24998.615862,1384.138414,2.162814,0.0
17,20,99989.078908,10921.092109,1.147151,0.0
17,23,24999.807981,192.019202,1.113296,0.0
18,21,24718.467847,281518.076608,1.13821,0.0
20,22,24998.615862,1384.138414,5.193114,0.0
