node1,node2,free_bw,used_bw,delay,pkloss
1,3,97917.857714,2082142.286171,1.151443,0.0
1,7,99693.647811,306321.577957,0.679135,0.0
1,16,97548.633094,2450648.98426,1.092315,0.010212
2,4,99600.727563,399252.486881,3.267765,0.0
2,7,99762.742355,237245.790829,3.540754,0.0
2,12,99846.132321,153852.304924,1.6675,0.0
2,13,99881.930649,118063.452705,4.247785,0.0
2,18,24794.948042,205051.958433,2.725363,0.0
2,23,24925.948431,74047.86907,2.095819,0.0
3,10,98287.082334,1712917.665868,0.940204,0.0
3,11,24922.390088,77609.91207,1.13833,0.0
3,14,1542.661137,7338.496146,1.056314,0.0
3,21,99698.473221,301511.715795,1.09911,0.0
4,16,99600.727563,399212.599526,9.699106,0.0
5,8,23427.468772,1572531.22814,1.201749,0.026185
5,16,23426.434852,1573048.188011,3.91674,0.026185
6,7,1548.61683,1383.031891,0.888109,0.0
6,19,1480.727418,69269.12142,1.056314,0.0
7,17,99798.46077,201519.09056,0.968933,0.0
7,19,24929.522287,70467.151221,2.582908,0.0
7,21,99819.924046,180048.967323,3.087997,0.0
8,9,24837.825739,162174.260592,3.9047,0.049554
9,15,24999.808096,191.875285,4.723907,0.0
9,16,97428.33733,2571662.669864,4.237413,0.009894
10,11,24916.434852,83565.147882,1.282334,0.0
10,12,99928.338163,71661.836714,1.022577,0.0
10,16,98279.936051,1719468.42526,1.001358,0.0
10,17,99917.617668,82382.332367,0.973463,0.0
12,22,99955.730562,44267.226413,0.901699,0.0
13,14,1540.278805,9721.195163,1.189113,0.0
13,17,99861.632857,138367.143,0.975609,0.0
13,19,24999.808134,191.856108,2.71368,0.0
15,20,24997.425287,2574.583985,1.367569,0.0
17,20,99989.086548,10912.906638,0.963807,0.0
17,23,24927.139716,72853.003625,2.257466,0.0
18,21,24918.816946,81183.053557,3.823996,0.0
20,22,24990.278805,9721.195163,0.758171,0.0
