node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808058,191.942417,1.75035,0.0
1,7,99999.808038,191.952012,1.197338,0.0
1,16,99999.808038,191.952012,2.011299,0.0
2,4,99999.808038,191.961608,1.105905,0.0
2,7,99999.808038,191.961608,0.663042,0.0
2,12,99999.808038,191.961608,0.964642,0.0
2,13,99999.808038,191.952012,1.559615,0.0
2,18,24999.808038,191.961608,1.109123,0.0
2,23,24999.808038,191.961608,1.411796,0.0
3,10,99999.808058,191.942417,1.984596,0.0
3,11,24999.808038,191.961608,1.309752,0.0
3,14,1549.808038,191.952012,1.564622,0.0
3,21,99999.808038,191.952012,1.508594,0.0
4,16,99999.808038,191.961608,1.15633,0.0
5,8,24999.808038,191.952012,1.466155,0.0
5,16,24999.808038,191.961608,1.551032,0.0
6,7,1549.808038,191.952012,1.724839,0.0
6,19,1549.808038,191.952012,2.155423,0.0
7,17,99999.808038,191.961608,1.54078,0.0
7,19,24999.856029,143.971206,1.451135,0.0
7,21,99999.808038,191.961608,0.825763,0.0
8,9,24999.808038,191.952012,1.178145,0.0
9,15,24999.808038,191.961608,1.240492,0.0
9,16,99999.808038,191.961608,1.158953,0.0
10,11,24999.808038,191.952012,2.030849,0.0
10,12,99999.808038,191.952012,1.618743,0.0
10,16,99999.808038,191.952012,1.724005,0.0
10,17,99999.808038,191.952012,1.991034,0.0
12,22,99999.808038,191.961608,1.37198,0.0
13,14,1549.808038,191.952012,1.307726,0.0
13,17,99999.808038,191.952012,1.311898,0.0
13,19,24999.856029,143.964009,1.53935,0.0
15,20,24999.808019,191.971205,2.245307,0.0
17,20,99999.808019,191.971205,1.902461,0.0
17,23,24999.808038,191.961608,1.610279,0.0
18,21,24999.808038,191.961608,1.122832,0.0
20,22,24999.808038,191.961608,1.594424,0.0
