node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808,192.0,0.216365,0.0
1,7,99999.808,192.0,1.174092,0.0
1,16,99999.808,192.0,0.410795,0.0
2,4,99999.808,192.0,0.0,0.0
2,7,99999.808,191.990401,1.046896,0.0
2,12,99999.808,192.0,0.503421,0.0
2,13,99999.808,191.990401,0.0,0.0
2,18,24999.808,192.0,0.0,0.0
2,23,24999.808,191.990401,0.150323,0.0
3,10,99999.808,191.990401,0.635743,0.0
3,11,24999.808,192.0,0.489712,0.0
3,14,1549.808,192.0,0.476599,0.0
3,21,99999.808,192.0,0.556946,0.0
4,16,99999.808,192.0,0.0,0.0
5,8,24999.808,192.0,0.251651,0.0
5,16,24999.808,192.0,0.499129,0.0
6,7,1549.808,192.0,1.1729,0.0
6,19,1549.808,192.0,0.501394,0.0
7,17,99999.808,192.0,1.822591,0.0
7,19,24999.808,192.0,0.801921,0.0
7,21,99999.808,192.0,0.815749,0.0
8,9,24999.808,192.0,0.087023,0.0
9,15,24999.808,192.0,0.320077,0.0
9,16,99999.808,191.990401,0.606656,0.0
10,11,24999.808,192.0,0.531554,0.0
10,12,99999.808,191.990401,0.511527,0.0
10,16,99999.808,191.990401,0.387073,0.0
10,17,99999.808,192.0,0.317812,0.0
12,22,99999.808,192.0,0.483036,0.0
13,14,1549.808,191.990401,0.0,0.0
13,17,99999.808019,191.980802,0.0,0.0
13,19,24999.808,191.990401,0.0,0.0
15,20,24999.808,192.0,0.390887,0.0
17,20,99999.808,192.0,1.636624,0.0
17,23,24999.808,191.990401,0.013471,0.0
18,21,24999.808,192.0,0.249386,0.0
20,22,24999.808,191.990401,0.151277,0.0
