node1,node2,free_bw,used_bw,delay,pkloss
1,3,99644.840612,355159.388428,0.0,0.0
1,7,99921.159652,78824.590856,0.0,0.0
1,16,99592.388567,407591.066825,0.0,0.0
2,4,99964.058782,35935.829685,0.0,0.0
2,7,99995.041488,4957.769115,0.0,0.0
2,12,99986.701319,13298.015926,0.0,0.0
2,13,99990.276862,9721.681126,0.0,0.0
2,18,24862.810314,136600.840096,0.0,0.13947
2,23,24998.616553,1383.30836,0.0,0.0
3,10,99915.283302,84716.698311,0.0,0.0
3,11,24933.089455,66907.201206,0.55933,0.0
3,14,1548.61683,1383.100988,2.782583,0.0
3,21,99663.865681,336117.524449,0.53668,0.0
4,16,99964.058782,35935.829685,0.0,0.0
5,8,24998.616553,1383.23925,0.574589,0.0
5,16,24998.616553,1383.30836,0.0,0.0
6,7,1534.316705,15680.943928,1.930356,0.0
6,19,1411.619029,138374.057208,2.017856,0.0
7,17,99875.877237,124110.357098,2.621889,0.0
7,19,24825.897871,173541.117239,2.623677,0.169779
7,21,99716.282231,283164.492987,0.252008,0.1287
8,9,24985.512692,14485.860043,0.0,0.0
9,15,24998.616553,1383.30836,0.0,0.0
9,16,99949.769115,50228.374519,0.0,0.0
10,11,24999.808096,191.884871,0.0,0.0
10,12,99716.22551,283731.953806,0.0,0.0
10,16,99661.48311,338499.975862,0.0,0.0
10,17,99989.132347,10866.023931,0.0,0.0
12,22,99928.316673,71683.326669,1.887321,0.0
13,14,1549.808134,191.865694,0.0,0.0
13,17,99989.085457,10912.906856,0.0,0.0
13,19,24989.086548,10912.361456,0.0,0.0
15,20,24997.42503,2574.970012,2.619147,0.0
17,20,99990.276862,9723.138431,1.266122,0.0
17,23,24998.616553,1383.377484,1.27089,0.0
18,21,24729.386368,270031.453591,0.0,0.231481
20,22,24999.808077,191.923231,2.018452,0.0
