node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808727,191.263635,1.86944,0.0
1,7,99999.808727,191.263635,1.35839,0.0
1,16,99999.808727,191.263635,4.793763,0.0
2,4,99999.808746,191.254109,1.501441,0.0
2,7,99999.808746,191.254109,2.187252,0.0
2,12,99999.808746,191.254109,1.814961,0.0
2,13,99999.856545,143.447727,1.763821,0.0
2,18,24999.808746,191.254109,1.932621,0.0
2,23,24999.808746,191.254109,1.675248,0.0
3,10,99999.808727,191.263635,1.414299,0.0
3,11,24999.808746,191.254109,1.276612,0.0
3,14,1549.808746,191.254109,1.626015,0.0
3,21,99999.808746,191.254109,1.508832,0.0
4,16,99999.856559,143.440582,1.369357,0.0
5,8,24999.808746,191.254109,1.110315,0.0
5,16,24999.808746,191.254109,2.067924,0.0
6,7,1549.808727,191.263635,1.772881,0.0
6,19,1549.808727,191.263635,1.359105,0.0
7,17,99999.808746,191.254109,1.124859,0.0
7,19,24999.808746,191.254109,1.812816,0.0
7,21,99999.808727,191.263635,1.994729,0.0
8,9,24999.808746,191.254109,2.506018,0.0
9,15,24999.808746,191.254109,2.285719,0.0
9,16,99999.808746,191.254109,1.533151,0.0
10,11,24999.808727,191.263635,1.478791,0.0
10,12,99999.808746,191.254109,1.228452,0.0
10,16,99999.808727,191.263635,1.455069,0.0
10,17,99999.808746,191.254109,1.420379,0.0
12,22,99999.808746,191.254109,0.842571,0.0
13,14,1549.808727,191.263635,0.983477,0.0
13,17,99999.808746,191.254109,1.656771,0.0
13,19,24999.808727,191.263635,1.22726,0.0
15,20,24999.808746,191.254109,1.246691,0.0
17,20,99999.808746,191.254109,1.776099,0.0
17,23,24999.808746,191.254109,1.298189,0.0
18,21,24999.808746,191.254109,2.137899,0.0
20,22,24999.808746,191.254109,1.401544,0.0
