node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807904,192.096048,1.994133,0.0
1,7,99999.807904,192.009639,1.898885,0.0
1,16,99999.807904,192.019233,3.854871,0.0
2,4,99999.808077,191.923231,1.347303,0.0
2,7,99999.808077,191.923231,1.81818,0.0
2,12,99999.856058,143.942423,1.749873,0.0
2,13,99999.855942,144.007218,1.510859,0.0
2,18,24999.808058,191.932824,2.122045,0.0
2,23,24999.808077,191.923231,1.719475,0.0
3,10,99999.807904,192.096048,2.615213,0.0
3,11,24999.807904,192.009639,1.755953,0.0
3,14,1549.807904,192.096048,1.945138,0.0
3,21,99999.807904,192.009639,1.712799,0.0
4,16,99999.808058,191.942417,1.622796,0.0
5,8,24999.807904,192.009639,0.929952,0.0
5,16,24999.808058,191.942417,8.11553,0.0
6,7,1549.807904,192.009639,1.273513,0.0
6,19,1549.807904,192.096048,1.36447,0.0
7,17,99999.808058,191.932824,0.679731,0.0
7,19,24999.807904,192.019233,2.205849,0.0
7,21,99999.808058,191.942417,1.148582,0.0
8,9,24999.807904,192.009639,1.478195,0.0
9,15,24999.808077,191.923231,1.109004,0.0
9,16,99999.808058,191.942417,1.144409,0.0
10,11,24999.807904,192.009639,1.59657,0.0
10,12,99999.807923,192.000031,1.414776,0.0
10,16,99999.807904,192.009639,2.338052,0.0
10,17,99999.807923,192.000031,1.724362,0.0
12,22,99999.808058,191.942417,1.996636,0.0
13,14,1549.807904,192.086439,1.624703,0.0
13,17,99999.807923,192.000031,0.748634,0.0
13,19,24999.807904,192.086439,2.066016,0.0
15,20,24999.808077,191.923231,1.595974,0.0
17,20,99999.808077,191.923231,1.297832,0.0
17,23,24999.808077,191.923231,1.415253,0.0
18,21,24999.808058,191.932824,2.339125,0.0
20,22,24999.808077,191.923231,1.581788,0.0
