node1,node2,free_bw,used_bw,delay,pkloss
1,3,98280.18485,1719728.770224,1.102924,0.0
1,7,98994.001005,1005400.301356,2.163053,0.031328
1,16,99842.949272,157050.728277,1.204371,0.0
2,4,98389.31994,1610081.366148,1.286864,0.746269
2,7,99865.699648,134293.606888,1.144528,0.833333
2,12,98462.360623,1536963.521464,1.091361,0.0
2,13,99999.807132,192.867906,0.967026,0.0
2,18,24990.228026,9771.483124,1.035571,0.0
2,23,24998.609744,1390.256153,1.101732,0.0
3,10,98330.647916,1669352.08438,1.890302,0.0
3,11,24999.807132,192.867906,2.047062,0.0
3,14,1548.609744,1390.256153,3.82638,0.0
3,21,99938.740331,61259.668508,3.651619,0.0
4,16,98389.31994,1610081.366147,1.092434,0.75188
5,8,24931.556002,68440.560667,4.920006,0.0
5,16,24931.556002,68440.560667,5.128026,0.0
6,7,1525.859367,24140.632848,6.203055,0.0
6,19,1475.561583,74434.677972,4.315972,0.0
7,17,99294.545455,704820.482852,2.199173,0.042034
7,19,24947.116737,52880.606894,3.033161,0.0
7,21,99839.357107,160642.893019,0.705123,0.243309
8,9,24299.335008,700066.298342,0.999808,0.042391
9,15,24299.405384,700031.110265,0.88954,0.042373
9,16,98407.120755,1592799.240545,0.985265,0.0
10,11,24999.807132,192.867906,1.039386,0.0
10,12,98353.611892,1646388.107674,1.041889,0.018034
10,16,99996.214967,3785.032647,1.157403,0.0
10,17,99980.650864,19349.136199,12.834191,0.0
12,22,99997.412616,2587.384492,2.653718,0.0
13,14,1547.412096,2587.77438,4.415631,0.0
13,17,99956.701155,43298.844802,3.908992,0.0
13,19,24975.859367,24140.632848,2.0895,0.0
15,20,24298.208116,701228.438378,1.195788,0.042319
17,20,99296.940231,703024.460615,2.759695,0.0
17,23,24998.609744,1390.256153,2.066374,0.0
18,21,24884.85786,115136.357078,0.881195,0.251889
20,22,24999.807132,192.867906,2.640367,0.0
