node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.856574,143.419153,1.61016,0.0
1,7,99999.808784,191.216014,1.029015,0.0
1,16,99999.808784,191.206494,0.998378,0.0
2,4,99999.856588,143.40487,1.10662,0.0
2,7,99999.856588,143.412011,0.979304,0.0
2,12,99999.808784,191.216014,1.122117,0.0
2,13,99999.808765,191.216016,1.265168,0.0
2,18,24999.808784,191.206494,1.331091,0.0
2,23,24999.808784,191.216014,1.601815,0.0
3,10,99999.808765,191.23506,1.636624,0.0
3,11,24999.808784,191.216014,1.069903,0.0
3,14,1549.808765,191.23506,1.464128,0.0
3,21,99999.808784,191.216014,1.541257,0.0
4,16,99999.808784,191.206494,0.808597,0.0
5,8,24999.808765,191.216016,0.971437,0.0
5,16,24999.808803,191.196973,1.312613,0.0
6,7,1549.808784,191.206494,1.075029,0.0
6,19,1549.808784,191.216014,1.348972,0.0
7,17,99999.808784,191.216014,1.148105,0.0
7,19,24999.808784,191.206494,1.368284,0.0
7,21,99999.808784,191.206494,1.076698,0.0
8,9,24999.808765,191.225537,1.218796,0.0
9,15,24999.808784,191.216014,1.473188,0.0
9,16,99999.808784,191.206494,0.994325,0.0
10,11,24999.808765,191.225537,0.945807,0.0
10,12,99999.808784,191.216014,1.141548,0.0
10,16,99999.808765,191.216016,1.698852,0.0
10,17,99999.808784,191.216014,1.330137,0.0
12,22,99999.808803,191.196973,1.512051,0.0
13,14,1549.808765,191.225537,1.196027,0.0
13,17,99999.808765,191.225537,1.279712,0.0
13,19,24999.808765,191.225537,1.411796,0.0
15,20,24999.808784,191.216014,1.290917,0.0
17,20,99999.808784,191.206494,1.136065,0.0
17,23,24999.808784,191.216014,1.139402,0.0
18,21,24999.808784,191.206494,1.741648,0.0
20,22,24999.808784,191.206494,0.9619,0.0
