node1,node2,free_bw,used_bw,delay,pkloss
1,3,99626.823953,373157.395844,1.225829,0.0
1,7,97004.018794,2995088.89299,1.169086,0.041169
1,16,99784.09918,215879.238387,1.207948,0.0
2,4,97244.455109,2755544.891022,2.296209,0.015149
2,7,97015.338466,2984512.33061,3.702641,0.013631
2,12,99598.144186,401815.640889,1.881957,0.0
2,13,99962.863427,37132.860513,4.107594,0.0
2,18,24791.24975,208750.24995,2.069473,0.0
2,23,24935.446455,64550.317614,2.23124,0.0
3,10,99755.521344,244466.437358,1.14131,0.0
3,11,24917.576485,82415.276241,1.144648,0.0
3,14,1549.808077,191.923231,1.007915,0.0
3,21,99872.289542,127697.691969,1.152396,0.0
4,16,97244.179582,2755682.65449,3.961444,0.015154
5,8,24999.808019,191.952016,1.25289,0.0
5,16,24999.808019,191.980802,2.209306,0.0
6,7,1545.040496,4959.008248,1.123667,0.0
6,19,1545.041488,4958.512446,1.012683,0.0
7,17,99930.678932,69317.602533,1.064301,0.0
7,19,24998.616138,1383.723269,3.624201,0.0
7,21,99927.10329,72893.066222,1.944304,0.0
8,9,24979.550135,20448.842956,1.80161,0.0
9,15,24999.808019,191.96161,1.567006,0.0
9,16,97093.10138,2906302.739452,12.730241,0.010236
10,11,24909.234153,90756.773875,1.1096,0.0
10,12,99729.251075,270708.329007,1.08695,0.0
10,16,99825.793421,174180.458803,1.146436,0.06759
10,17,99940.219956,59777.055885,1.032114,0.0
12,22,99999.808019,191.971205,1.021385,0.0
13,14,1545.041488,4958.26462,0.846982,0.0
13,17,99974.778522,25217.696143,0.895739,0.0
13,19,24991.46656,8533.013467,1.172662,0.0
15,20,24991.464854,8534.719813,1.275539,0.0
17,20,99915.184482,84815.518448,1.12164,0.0
17,23,24936.638336,63361.663834,2.879024,0.0
18,21,24998.616277,1383.723255,2.969742,0.0
20,22,24934.261148,65738.85223,1.136065,0.0
