node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808019,191.980802,1.166463,0.0
1,7,99999.808,191.990401,0.878572,0.0
1,16,99999.808019,191.980802,1.398921,0.0
2,4,99999.808,192.0,2.320647,0.0
2,7,99999.808,192.0,1.875758,0.0
2,12,99999.808,191.990401,1.383901,0.0
2,13,99999.807846,192.067262,3.917336,0.0
2,18,24999.808,191.990401,1.586199,0.0
2,23,24999.808,192.0,2.286315,0.0
3,10,99999.808019,191.971205,1.319408,0.0
3,11,24999.808,191.990401,1.093507,0.0
3,14,1549.808019,191.980802,1.695633,0.0
3,21,99999.808,191.990401,1.715064,0.0
4,16,99999.808019,191.980802,1.531482,0.0
5,8,24999.808,191.990401,0.98443,0.0
5,16,24999.808019,191.980802,2.275109,0.0
6,7,1549.808019,191.980802,1.734972,0.0
6,19,1549.808,191.990401,1.433372,0.0
7,17,99999.808,192.0,1.520157,0.0
7,19,24999.808019,191.980802,1.777411,0.0
7,21,99999.808019,191.980802,1.475692,0.0
8,9,24999.808,191.990401,1.926422,0.0
9,15,24999.808,192.0,2.85089,0.0
9,16,99999.808,191.990401,2.22826,0.0
10,11,24999.808,191.980804,1.288295,0.0
10,12,99999.808,191.990401,0.911236,0.0
10,16,99999.808019,191.971205,1.041412,0.0
10,17,99999.808,191.990401,0.877023,0.0
12,22,99999.808019,191.980802,0.959635,0.0
13,14,1549.807846,192.067262,1.363873,0.0
13,17,99999.807846,192.076861,1.237035,0.0
13,19,24999.807846,192.076861,1.981616,0.0
15,20,24999.808,192.0,1.433134,0.0
17,20,99999.808,192.0,1.255512,0.0
17,23,24999.808,192.0,0.973701,0.0
18,21,24999.856,143.992801,1.994252,0.0
20,22,24999.808,192.0,1.620054,0.0
