node1,node2,free_bw,used_bw,delay,pkloss
1,3,99347.081994,652918.006431,0.98443,0.0
1,7,97163.536977,2835864.147911,0.899315,0.0
1,16,96162.60424,3836989.680677,1.077652,0.007742
2,4,99945.902924,54094.357771,11.247635,0.0
2,7,97642.684887,2357315.112541,1.051307,0.0
2,12,97771.019793,2228493.318919,1.29056,0.013129
2,13,99961.4791,38518.965181,1.01006,0.0
2,18,24814.155949,185834.715365,1.072407,0.0
2,23,24998.609325,1390.605379,0.799894,0.0
3,10,99587.78135,412218.649517,1.05381,0.0
3,11,24913.569132,86430.868167,1.019955,0.0
3,14,1546.213826,3786.173633,1.727819,0.0
3,21,99846.479751,153504.824701,0.817657,0.0
4,16,99945.902924,54094.357771,1.161337,0.0
5,8,22834.276527,2165124.59807,0.773191,0.0
5,16,22861.824759,2137469.013124,0.980258,0.0
6,7,1434.811577,115182.636074,0.975847,0.0
6,19,1547.411576,2588.294405,0.964642,0.0
7,17,99573.365491,426613.074483,0.914812,0.0
7,19,24836.896794,163086.818367,1.133084,0.0
7,21,99965.068837,34927.653086,0.996232,0.0
8,9,24767.44373,232544.587374,0.973463,0.0
9,15,24996.213446,3786.363874,0.884533,0.0
9,16,95944.228296,4055567.957985,0.761867,0.0
10,11,24905.184887,94815.11254,1.245975,0.0
10,12,97636.64791,2362753.215433,1.002073,0.013514
10,16,97526.454984,2472821.940369,0.96035,0.0
10,17,99632.098071,367901.92926,0.94378,0.0
12,22,99989.027331,10972.66881,1.058102,0.0
13,14,1548.609325,1390.605379,1.064897,0.0
13,17,99822.52236,177459.808866,0.921369,0.0
13,19,24829.726688,170273.311897,1.100183,0.0
15,20,24998.609185,1390.814993,5.493522,0.0
17,20,99902.77962,97215.495397,1.019597,0.0
17,23,24999.807055,192.935739,0.639319,0.0
18,21,24999.807074,192.926045,1.077533,0.0
20,22,24925.546624,74453.376206,1.220584,0.0
