node1,node2,free_bw,used_bw,delay,pkloss
1,3,97532.409795,2467241.068659,1.930237,0.012225
1,7,98262.566973,1736924.051134,2.014875,0.021906
1,16,99715.033986,284966.013595,1.883864,0.0
2,4,97649.889033,2349397.74645,1.016378,0.012994
2,7,99740.055978,259944.022391,1.177549,0.0
2,12,97720.42383,2279094.292903,0.953436,0.013826
2,13,99916.393082,83598.561411,1.22273,0.0
2,18,24828.211537,171192.642207,1.061678,0.185874
2,23,24997.42503,2574.970012,1.024723,0.0
3,10,96201.611194,3798388.805598,2.214193,0.0
3,11,24992.658203,7341.063648,2.615333,0.0
3,14,1547.425287,2574.712644,2.02167,0.0
3,21,98106.477409,1893522.590963,1.719475,0.0
4,16,97649.889033,2349515.145456,1.150489,0.012992
5,8,23382.042774,1617523.194999,3.017664,0.050852
5,16,23382.910836,1617089.164334,1.279116,0.025419
6,7,1547.424773,2575.098722,2.434254,0.0
6,19,1481.884435,68112.160914,3.141522,0.0
7,17,99723.37465,276625.34986,3.400207,0.0
7,19,24894.991503,105003.249125,1.147151,0.0
7,21,98104.094362,1895905.637745,1.181364,0.025138
8,9,24838.936319,161039.535831,1.108885,0.048804
9,15,24838.936319,161055.630932,1.101613,0.0
9,16,97856.043187,2143849.657977,1.198053,0.0
10,11,24990.274918,9724.110453,2.647638,0.0
10,12,97587.455527,2412189.869605,2.305031,0.012773
10,16,98191.07557,1808834.029207,3.501534,0.0
10,17,99958.104758,41893.148188,2.860904,0.0
12,22,99948.572571,51427.429028,2.411962,0.0
13,14,1546.233883,3765.928749,2.491593,0.0
13,17,99893.751874,106237.50606,1.153827,0.0
13,19,24960.483855,39512.195517,2.416134,0.0
15,20,24838.936319,161055.630932,3.881931,0.0
17,20,99836.553034,163438.79683,1.917958,0.0
17,23,24997.424773,2575.098722,0.836492,0.0
18,21,24956.908927,43088.918986,1.038194,0.0
20,22,24998.616415,1383.515773,3.139853,0.0
