node1,node2,free_bw,used_bw,delay,pkloss
1,3,98128.180818,1871819.181918,0.720978,0.0
1,7,99720.852085,279147.914791,0.838637,0.0
1,16,99712.507251,287492.749275,0.97549,0.0
2,4,98650.329033,1349670.967097,1.048446,0.0
2,7,99756.615662,243384.338434,0.999928,0.0
2,12,98761.19612,1238803.880388,1.274228,0.0
2,13,99931.857186,68139.407141,1.085758,0.0
2,18,24868.674867,131325.132513,0.823259,0.0
2,23,24947.397479,52599.890115,0.828028,0.0
3,10,98851.79718,1148145.410141,1.025915,0.0
3,11,24383.482348,616486.825882,0.56839,0.0
3,14,1543.847385,6152.615262,1.097918,0.0
3,21,99886.556656,113437.672167,0.889659,0.0
4,16,98650.329033,1349670.967097,0.738382,0.026281
5,8,24420.438044,579532.978098,1.134872,0.051308
5,16,24420.438044,579561.956195,1.02067,0.0
6,7,1549.807981,192.019202,0.833511,0.0
6,19,1499.738974,50261.026103,0.578642,0.0
7,17,99902.054205,97945.794579,0.961423,0.0
7,19,24996.231623,3768.376838,0.813246,0.0
7,21,99838.871887,161128.112811,0.914693,0.0
8,9,24946.168,53832.0,0.978112,0.0
9,15,24999.855986,144.014401,0.932693,0.0
9,16,98813.649365,1186350.635063,0.94521,0.0
10,11,24379.905991,620063.0047,0.712037,0.048193
10,12,98891.248,1108211.383538,1.11115,0.0
10,16,99300.034003,699930.9983,0.998139,0.039386
10,17,99797.147715,202852.285229,1.099229,0.0
12,22,99997.423742,2576.257626,0.917435,0.0
13,14,1549.808,192.0,0.902891,0.0
13,17,99877.019702,122980.29803,1.021385,0.52356
13,19,24946.162616,53837.383738,0.895381,0.568182
15,20,24998.615723,1384.207635,1.074672,0.0
17,20,99998.615862,1384.138414,0.986934,0.0
17,23,24947.34947,52647.897316,1.097679,0.0
18,21,24991.463146,8536.853685,1.032472,0.0
20,22,24999.807962,192.028805,0.995398,0.0
