node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808019,191.980802,1.998425,0.0
1,7,99999.808019,191.980802,1.75333,0.0
1,16,99999.808019,191.971205,1.547575,0.0
2,4,99999.808019,191.971205,1.5136,0.0
2,7,99999.808019,191.971205,1.831532,0.0
2,12,99999.808019,191.980802,1.072526,0.0
2,13,99999.808019,191.971205,1.626134,0.0
2,18,24999.808019,191.980802,2.002835,0.0
2,23,24999.75205,247.95041,1.766801,11.111111
3,10,99999.808019,191.980802,1.086354,0.0
3,11,24999.752025,247.962806,1.651764,0.0
3,14,1549.808019,191.980802,1.376987,0.0
3,21,99999.808019,191.980802,1.491785,0.0
4,16,99999.808019,191.980802,1.848221,0.0
5,8,24999.808019,191.980802,1.205683,0.0
5,16,24999.808019,191.980802,1.815438,0.0
6,7,1549.808019,191.980802,1.593232,0.0
6,19,1549.808019,191.980802,1.407862,0.0
7,17,99999.808019,191.971205,1.980901,0.0
7,19,24999.808019,191.980802,2.209783,0.0
7,21,99999.808019,191.980802,2.056003,0.0
8,9,24999.856014,143.978404,2.146244,0.0
9,15,24999.856029,143.971206,1.394629,0.0
9,16,99999.808019,191.971205,2.218127,0.0
10,11,24999.808019,191.971205,1.267433,0.0
10,12,99999.808019,191.971205,0.94974,0.0
10,16,99999.808019,191.980802,1.249075,0.0
10,17,99999.808038,191.961608,1.259327,0.0
12,22,99999.808019,191.980802,1.410723,0.0
13,14,1549.808019,191.980802,1.740336,0.0
13,17,99999.808038,191.961608,1.657486,0.0
13,19,24999.75205,247.95041,1.953006,0.0
15,20,24999.808019,191.971205,3.120065,0.0
17,20,99999.808038,191.961608,2.790809,0.0
17,23,24999.808019,191.971205,1.815796,0.0
18,21,24999.808019,191.971205,2.029181,0.0
20,22,24999.808019,191.971205,1.481414,0.0
