node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807287,192.703368,1.772881,0.0
1,7,99999.807287,192.713038,1.682758,0.0
1,16,99999.807287,192.713038,2.39265,0.0
2,4,99999.855465,144.527526,1.475334,0.0
2,7,99999.807287,192.713038,1.20604,0.0
2,12,99999.807287,192.713038,1.61314,0.0
2,13,99999.807287,192.703368,1.574636,0.0
2,18,24999.807287,192.713038,1.787901,0.0
2,23,24999.855465,144.527526,1.405954,0.0
3,10,99999.807287,192.703368,1.662493,0.0
3,11,24999.807287,192.713038,1.075268,0.0
3,14,1549.807287,192.713038,1.887441,0.0
3,21,99999.807287,192.713038,1.039863,0.0
4,16,99999.807287,192.713038,1.311779,0.0
5,8,24999.807287,192.703368,1.224041,0.0
5,16,24999.807287,192.713038,1.345515,0.0
6,7,1549.807287,192.713038,1.055717,0.0
6,19,1549.807287,192.713038,1.073241,0.0
7,17,99999.807287,192.713038,1.487136,0.0
7,19,24999.807287,192.713038,2.245426,0.0
7,21,99999.807287,192.713038,1.192331,0.0
8,9,24999.855465,144.527526,1.697063,0.0
9,15,24999.807287,192.713038,10.155201,0.0
9,16,99999.807287,192.713038,1.48344,0.0
10,11,24999.807287,192.703368,2.795339,0.0
10,12,99999.807287,192.703368,2.432823,0.0
10,16,99999.807287,192.703368,1.987696,0.0
10,17,99999.807287,192.713038,1.479268,0.0
12,22,99999.807287,192.713038,1.657009,0.0
13,14,1549.807287,192.703368,1.736999,0.0
13,17,99999.807306,192.693697,1.372814,0.0
13,19,24999.807287,192.703368,1.627088,0.0
15,20,24999.807287,192.713038,1.883745,0.0
17,20,99999.807287,192.713038,1.585841,0.0
17,23,24999.807287,192.703368,1.570582,0.0
18,21,24999.807287,192.713038,1.925826,0.0
20,22,24999.807287,192.703368,1.674771,0.0
