node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808153,191.836939,0.945807,0.0
1,7,99999.808,191.923261,0.982165,0.0
1,16,99999.807981,191.932862,1.07193,0.0
2,4,99999.807981,192.009601,1.659155,0.0
2,7,99999.807981,192.009601,1.617074,0.0
2,12,99999.807981,192.019202,1.4292,0.0
2,13,99999.807981,191.932862,1.681209,0.0
2,18,24999.807981,192.009601,1.260996,0.0
2,23,24999.807981,192.009601,1.525998,0.0
3,10,99999.808153,191.836939,1.561522,0.0
3,11,24999.807981,191.932862,1.820564,0.0
3,14,1549.808173,191.827355,1.768827,0.0
3,21,99999.807981,191.932862,1.449585,0.0
4,16,99999.807981,192.009601,1.437187,0.0
5,8,24999.808,191.923261,1.336813,0.0
5,16,24999.807981,192.009601,1.323342,0.0
6,7,1549.807981,191.932862,1.622081,0.0
6,19,1549.808153,191.846523,1.769662,0.0
7,17,99999.807981,192.009601,1.571655,0.0
7,19,24999.807981,191.932862,1.805782,0.0
7,21,99999.807981,192.019202,1.324296,0.0
8,9,24999.807981,191.932862,1.535177,0.0
9,15,24999.807981,192.009601,1.002431,0.0
9,16,99999.807962,192.028805,1.354218,0.0
10,11,24999.807981,191.932862,1.296759,0.0
10,12,99999.807981,191.932862,1.283646,0.0
10,16,99999.807981,191.932862,1.267791,0.0
10,17,99999.807981,191.932862,1.62828,0.0
12,22,99999.807981,192.009601,1.587987,0.0
13,14,1549.808153,191.836939,1.444101,0.0
13,17,99999.807981,191.932862,1.619935,0.0
13,19,24999.808153,191.846523,1.852274,0.0
15,20,24999.808,192.0,1.276374,0.0
17,20,99999.807981,192.009601,1.139641,0.0
17,23,24999.807981,192.009601,1.924872,0.0
18,21,24999.807981,192.009601,1.947403,0.0
20,22,24999.807981,192.019202,1.1096,0.0
