node1,node2,free_bw,used_bw,delay,pkloss
1,3,99274.025195,725974.805039,2.842426,0.011252
1,7,97377.932414,2621137.793241,3.02887,0.082645
1,16,99767.391261,232597.111015,2.327681,0.0
2,4,97607.70323,2391820.385161,12.20417,0.049875
2,7,97384.869513,2614665.243476,1.128316,0.038037
2,12,99602.911709,396512.145585,3.752232,0.150376
2,13,99961.667833,38330.250558,3.035545,0.0
2,18,24791.208,208781.561444,3.579497,0.0
2,23,24933.049305,66944.000669,2.197266,0.0
3,10,99412.269546,587730.453909,1.997709,0.0
3,11,24917.568243,82427.636061,2.866745,0.0
3,14,1547.424515,2575.356167,2.991438,0.0
3,21,99871.09778,128306.338732,3.107071,0.0
4,16,97607.751225,2391772.387561,1.06442,0.049925
5,8,24999.808,191.980804,0.700712,0.0
5,16,24999.808,191.990401,2.742052,0.0
6,7,1546.232,3767.623275,0.580549,0.0
6,19,1546.232753,3767.246551,0.777483,0.0
7,17,99933.049305,66947.347535,1.077771,0.0
7,19,24998.616,1383.861628,2.030253,0.0
7,21,99927.096,72896.711058,0.980973,0.0
8,9,24979.54809,20451.909618,1.904726,0.0
9,15,24998.615862,1384.000014,3.60465,0.0
9,16,97092.810719,2907043.950674,1.18947,0.0
10,11,24909.225077,90770.384669,1.986146,0.0
10,12,99731.661668,267769.166167,1.899123,0.12987
10,16,99480.147985,519230.146571,2.511859,0.013268
10,17,99939.016,60977.902819,2.612829,0.0
12,22,99999.808,192.0,3.94392,0.0
13,14,1543.84923,6150.4624,0.777602,0.0
13,17,99972.389239,27606.62029,1.105666,0.0
13,19,24993.84923,6150.769846,2.381444,0.0
15,20,24990.271027,9728.486449,4.048109,0.0
17,20,99916.368,83632.0,1.727939,0.0
17,23,24934.241424,65755.287929,2.239108,0.0
18,21,24998.616,1383.930807,2.992868,0.0
20,22,24934.241424,65755.287929,2.448916,0.0
