node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808058,191.932824,0.0,0.0
1,7,99999.808038,191.952012,0.0,0.0
1,16,99999.808058,191.932824,0.0,0.0
2,4,99999.808058,191.942417,0.0,0.0
2,7,99999.808038,191.952012,0.0,0.0
2,12,99999.808038,191.952012,0.550628,0.0
2,13,99999.808058,191.932824,0.302315,0.0
2,18,24999.808058,191.942417,0.663519,0.0
2,23,24999.808058,191.942417,0.0,0.0
3,10,99999.808077,191.923231,0.062823,0.0
3,11,24999.808058,191.932824,0.0,0.0
3,14,1549.808077,191.923231,0.146627,0.0
3,21,99999.808077,191.923231,0.009418,0.0
4,16,99999.808058,191.942417,0.0,0.0
5,8,24999.808058,191.932824,1.159787,0.0
5,16,24999.808058,191.942417,0.516176,0.0
6,7,1549.808038,191.942419,0.149608,0.0
6,19,1549.808077,191.923231,0.794649,0.0
7,17,99999.808058,191.942417,0.241756,0.0
7,19,24999.808038,191.952012,0.534654,0.0
7,21,99999.808038,191.942419,0.0,0.0
8,9,24999.808077,191.923231,0.555396,0.0
9,15,24999.808058,191.932824,1.319766,0.0
9,16,99999.808058,191.942417,0.760674,0.0
10,11,24999.808077,191.923231,0.40853,0.0
10,12,99999.808038,191.952012,0.578523,0.0
10,16,99999.808058,191.932824,1.108885,0.0
10,17,99999.808058,191.932824,1.043916,0.0
12,22,99999.808038,191.952012,0.484467,0.0
13,14,1549.808077,191.923231,0.618458,0.0
13,17,99999.808058,191.942417,0.41604,0.0
13,19,24999.808077,191.923231,0.0,0.0
15,20,24999.856043,143.956813,1.647353,0.0
17,20,99999.856043,143.956813,0.849843,0.0
17,23,24999.808038,191.952012,0.029445,0.0
18,21,24999.808038,191.942419,0.617862,0.0
20,22,24999.808038,191.952012,0.79453,0.0
