node1,node2,free_bw,used_bw,delay,pkloss
1,3,96942.908582,3056342.48882,1.7519,0.009742
1,7,99875.815163,124178.627105,8.368134,0.0
1,16,99559.915992,440062.0042,5.420327,0.0
2,4,99608.753751,391226.684981,3.323913,0.0
2,7,99902.044409,97950.692849,3.65746,0.0
2,12,99841.256126,158735.937194,2.171874,0.0
2,13,99878.211821,121198.150221,2.020478,0.0
2,18,24612.369237,387611.381538,3.222227,0.0
2,23,24836.487649,163512.351235,5.239606,0.0
3,10,97267.197439,2732206.441288,2.550602,0.0
3,11,24944.964993,55032.254976,4.020572,0.0
3,14,1415.085017,134914.982997,3.991604,0.0
3,21,99750.630126,249357.404234,4.426599,0.0
4,16,99608.753751,391226.684981,5.713701,0.0
5,8,24999.807981,192.019202,2.486706,0.0
5,16,24999.807981,192.019202,1.996517,0.0
6,7,1549.807981,192.019202,1.957536,0.0
6,19,1549.807981,192.019202,2.388597,0.0
7,17,99937.817782,62182.218222,4.713178,0.0
7,19,24991.463146,8536.853685,2.78461,0.0
7,21,99979.541954,20458.045805,0.797868,0.0
8,9,24979.541954,20458.045805,1.054645,0.0
9,15,24989.078908,10921.092109,0.861645,0.0
9,16,97083.884388,2915969.805781,1.772285,0.0
10,11,24936.619324,63377.506784,4.453182,0.0
10,12,99912.783278,87216.721672,2.280951,0.0
10,16,97017.125713,2982278.227823,3.116608,0.0
10,17,99695.817582,303586.358636,2.095938,0.0
12,22,99944.970497,55029.50295,1.850963,0.0
13,14,1410.316063,139683.936787,4.579663,0.0
13,17,99861.584,137833.725145,3.780723,0.0
13,19,24990.270054,9729.459443,2.644181,0.0
15,20,24980.732146,19266.890082,2.392769,0.0
17,20,99981.926193,18073.807381,1.4714,0.0
17,23,24837.679768,162312.116012,2.325416,0.0
18,21,24819.79798,180202.020202,1.171947,0.0
20,22,24989.077816,10921.092218,2.143145,0.0
