node1,node2,free_bw,used_bw,delay,pkloss
1,3,99800.044155,199945.813558,2.423406,0.0
1,7,99583.450768,416507.430931,2.672791,0.0
1,16,95781.629868,4218158.473163,1.712918,0.0
2,4,99762.914785,237073.318206,1.088858,0.0
2,7,99875.378902,124614.844495,1.092672,0.0
2,12,99792.825454,207153.755599,0.980616,0.0
2,13,99978.275966,21724.034119,1.249552,0.0
2,18,24873.046969,126946.660965,1.038074,0.0
2,23,24881.349127,118638.965363,1.082778,0.0
3,10,99919.66282,80333.149568,1.830697,0.0
3,11,24889.758154,110236.315565,2.468705,0.0
3,14,1542.630206,7369.424533,1.823783,0.0
3,21,99987.845459,12153.931093,2.529383,0.0
4,16,99762.914785,237073.318206,0.826836,0.0
5,8,24999.807306,192.684029,2.538681,0.0
5,16,24999.807306,192.684029,0.847101,0.0
6,7,1548.61086,1389.000415,2.596259,0.0
6,19,1480.4285,69571.500251,4.700899,0.0
7,17,99646.861387,353120.892142,2.735972,0.0
7,19,24918.450266,81541.5504,2.363682,0.0
7,21,99944.771655,55222.802644,1.092792,0.0
8,9,23265.336678,1734663.321626,1.167536,0.0
9,15,24996.217627,3781.803669,0.848413,0.0
9,16,95852.628199,4147371.801305,0.799298,0.0
10,11,24894.5429,105451.809006,2.45893,0.0
10,12,99913.664559,86326.777265,2.777934,0.0
10,16,99752.196688,247803.311591,2.689242,0.0
10,17,99652.878362,347104.220855,3.271937,0.0
12,22,99999.807287,192.703368,2.100229,0.0
13,14,1541.434019,8565.980933,4.681468,0.0
13,17,99987.844239,12154.541016,1.102686,0.0
13,19,24987.845459,12154.540893,2.637386,0.0
15,20,24993.824533,6175.156854,3.978491,0.0
17,20,99949.557362,50440.106515,2.840638,0.0
17,23,24881.39731,118596.738065,0.987053,0.0
18,21,24997.463121,2536.879077,0.881791,0.0
20,22,24951.950216,48047.373032,1.122952,0.0
