node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807866,192.124882,1.600862,0.0
1,7,99999.807866,192.038456,1.45936,0.0
1,16,99999.807885,192.028843,1.39761,0.0
2,4,99999.808058,191.932824,1.554132,0.0
2,7,99999.808058,191.942417,2.078056,0.0
2,12,99999.856043,143.956813,1.681805,0.0
2,13,99999.807866,192.038456,2.077341,0.0
2,18,24999.856043,143.956813,1.438737,0.0
2,23,24999.808058,191.932824,1.949668,0.0
3,10,99999.807866,192.124882,1.449347,0.0
3,11,24999.807885,192.01925,1.645327,0.0
3,14,1549.807885,192.115269,1.749158,0.0
3,21,99999.807885,192.028843,1.389146,0.0
4,16,99999.808058,191.932824,2.471805,0.0
5,8,24999.807885,192.01925,1.695395,0.0
5,16,24999.808058,191.942417,2.187014,0.0
6,7,1549.807885,192.028843,1.121759,0.0
6,19,1549.807885,192.115269,1.098156,0.0
7,17,99999.808077,191.923231,1.439571,0.0
7,19,24999.807885,192.028843,1.45185,0.0
7,21,99999.808058,191.942417,2.922297,0.0
8,9,24999.807885,192.028843,2.147913,0.0
9,15,24999.808077,191.923231,1.796603,0.0
9,16,99999.808058,191.942417,2.678633,0.0
10,11,24999.807866,192.028862,5.659461,0.0
10,12,99999.807866,192.038456,1.175404,0.0
10,16,99999.807866,192.038456,1.633406,0.0
10,17,99999.807885,192.01925,1.680017,0.0
12,22,99999.808058,191.942417,1.338363,0.0
13,14,1549.807866,192.124882,1.962423,0.0
13,17,99999.807866,192.038456,1.685858,0.0
13,19,24999.807866,192.115271,1.388192,0.0
15,20,24999.808077,191.923231,0.983357,0.0
17,20,99999.808077,191.923231,1.343966,0.0
17,23,24999.808058,191.932824,1.404405,0.0
18,21,24999.808058,191.932824,1.774549,0.0
20,22,24999.808058,191.942417,1.199126,0.0
