node1,node2,free_bw,used_bw,delay,pkloss
1,3,99847.262547,152737.45251,2.40469,0.0
1,7,99595.841248,403583.075447,3.175139,0.0
1,16,99869.906019,130087.478456,2.342939,0.0
2,4,99654.23173,345768.269519,1.223564,0.0
2,7,99763.862841,236125.356715,1.009107,0.0
2,12,99912.818155,87177.488097,1.054883,0.0
2,13,99928.29517,71694.078093,1.053333,0.0
2,18,24990.322903,9676.61321,0.876307,0.0
2,23,24916.393082,83602.73925,0.971079,0.0
3,10,99977.164567,22835.432913,2.188683,0.0
3,11,24997.424515,2575.227458,2.668262,0.0
3,14,1546.232753,3767.246551,1.73831,0.0
3,21,99861.563687,138429.392998,1.736641,0.0
4,16,99654.23173,345768.269519,1.155376,0.0
5,8,24999.808038,191.952012,3.494143,0.0
5,16,24999.808058,191.942417,0.932574,0.0
6,7,1548.616277,1383.65409,2.626419,0.0
6,19,1499.749025,50248.462856,1.989365,0.0
7,17,99782.929121,216475.057483,2.140045,0.0
7,19,24991.465707,8533.866555,2.413511,0.0
7,21,99993.849845,6150.154954,0.905156,0.0
8,9,24990.273945,9725.082572,0.81265,0.0
9,15,24990.27589,9724.110356,1.178503,0.0
9,16,99990.274918,9724.596416,0.898719,0.0
10,11,24995.040992,4958.512496,1.560092,0.0
10,12,99821.043791,178938.320293,1.777291,0.0
10,16,99829.386123,170605.349089,2.182961,0.0
10,17,99978.356329,21642.589407,2.063751,0.0
12,22,99953.334,46663.667833,3.883839,0.0
13,14,1547.424258,2575.613664,1.016498,0.0
13,17,99871.09778,128889.334488,1.235962,0.0
13,19,24941.405859,58594.140586,4.268646,0.0
15,20,24989.084366,10915.633747,3.313899,0.0
17,20,99996.23313,3766.681671,2.357841,0.0
17,23,24918.832467,81167.532987,1.108527,0.0
18,21,24886.602019,113392.312974,0.791907,0.0
20,22,24990.27589,9724.110356,2.493382,0.0
