node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808,191.923261,2.015591,0.0
1,7,99999.856,143.942446,1.214504,0.0
1,16,99999.808,191.923261,1.827002,0.0
2,4,99999.808,192.0,0.607371,0.0
2,7,99999.808,192.0,0.542283,0.0
2,12,99999.808,192.0,0.519037,0.0
2,13,99999.808,191.923261,0.475168,0.0
2,18,24999.808,192.0,1.268744,0.0
2,23,24999.808,192.0,0.758886,0.0
3,10,99999.808,192.0,2.085447,0.0
3,11,24999.808,192.0,2.123833,0.0
3,14,1549.808,192.0,1.654506,0.0
3,21,99999.808,192.0,1.880765,0.0
4,16,99999.808,192.0,1.019597,0.0
5,8,24999.808,191.913678,1.777768,0.0
5,16,24999.808,192.0,1.087546,0.0
6,7,1549.855986,144.000001,0.965834,0.0
6,19,1549.808,192.0,2.422094,0.0
7,17,99999.808,192.0,1.326561,0.0
7,19,24999.808,192.0,1.976252,0.0
7,21,99999.808,192.0,0.983119,0.0
8,9,24999.808,191.913678,0.893354,0.0
9,15,24999.808,192.0,0.97084,0.0
9,16,99999.808,191.990401,0.925064,0.0
10,11,24999.808,192.0,2.542973,0.0
10,12,99999.807981,192.000002,1.988888,0.0
10,16,99999.807981,192.009601,3.142238,0.0
10,17,99999.807981,192.009601,1.717925,0.0
12,22,99999.808,192.0,0.405073,0.0
13,14,1549.807981,191.932862,2.866387,0.0
13,17,99999.856,143.935258,1.578808,0.0
13,19,24999.808,191.923261,1.63734,0.0
15,20,24999.808,192.0,1.234651,0.0
17,20,99999.808,192.0,1.403213,0.0
17,23,24999.808,192.0,1.447797,0.0
18,21,24999.808,192.0,1.216054,0.0
20,22,24999.808,192.0,1.632333,0.0
