node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807384,192.616372,1.187086,0.0
1,7,99999.807345,192.6357,1.337528,0.0
1,16,99999.807364,192.626035,2.107501,0.0
2,4,99999.807345,192.655027,0.945687,0.0
2,7,99999.807345,192.655027,0.831604,0.0
2,12,99999.807345,192.655027,0.799537,0.0
2,13,99999.807364,192.626035,0.588894,0.0
2,18,24999.807345,192.645362,0.57447,0.0
2,23,24999.807345,192.655027,0.674486,0.0
3,10,99999.807384,192.616372,1.123905,0.0
3,11,24999.807364,192.635698,1.665354,0.0
3,14,1549.807384,192.616372,1.775026,0.0
3,21,99999.807364,192.635698,1.508117,0.0
4,16,99999.807345,192.645362,1.568913,0.0
5,8,24999.855509,144.476775,1.50466,0.0
5,16,24999.807345,192.645362,1.41561,0.0
6,7,1549.807345,192.6357,1.132131,0.0
6,19,1549.807364,192.626035,0.96941,0.0
7,17,99999.855509,144.49127,1.285911,0.0
7,19,24999.807345,192.645362,1.347184,0.0
7,21,99999.807345,192.645362,1.578808,0.0
8,9,24999.807364,192.626035,1.766086,0.0
9,15,24999.807345,192.645362,1.224875,0.0
9,16,99999.807345,192.645362,1.682758,0.0
10,11,24999.807364,192.626035,1.676321,0.0
10,12,99999.807345,192.6357,1.119256,0.0
10,16,99999.807364,192.626035,1.847744,0.0
10,17,99999.807345,192.6357,1.066089,0.0
12,22,99999.807345,192.655027,1.668215,0.0
13,14,1549.807384,192.606712,1.880288,0.0
13,17,99999.807345,192.6357,1.37198,0.0
13,19,24999.807364,192.626035,1.106977,0.0
15,20,24999.807345,192.655027,1.168847,0.0
17,20,99999.807345,192.655027,1.703382,0.0
17,23,24999.807345,192.655027,1.764536,0.0
18,21,24999.807364,192.635698,1.473188,0.0
20,22,24999.807345,192.655027,1.362085,0.0
