node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807981,192.009601,1.159191,0.0
1,7,99999.807981,192.009601,1.152396,0.0
1,16,99999.808,192.0,1.907825,0.0
2,4,99999.808,192.0,1.431108,0.0
2,7,99999.808,192.0,1.315832,0.0
2,12,99999.808,192.0,1.597166,0.0
2,13,99999.807981,192.009601,1.55127,0.0
2,18,24999.808,191.990401,1.217961,0.0
2,23,24999.808,192.0,1.413226,0.0
3,10,99999.807981,192.009601,0.804543,0.0
3,11,24999.808,192.0,1.033545,0.0
3,14,1549.808,192.0,0.811338,0.0
3,21,99999.808,191.990401,1.185656,0.0
4,16,99999.856,144.0,1.135707,0.0
5,8,24999.808,192.0,1.228809,0.0
5,16,24999.808,191.990401,2.534509,0.0
6,7,1549.808,192.0,1.25587,0.0
6,19,1549.808,192.0,1.129985,0.0
7,17,99999.808,192.0,1.559854,0.0
7,19,24999.808,191.990401,1.191854,0.0
7,21,99999.808,191.990401,2.244711,0.0
8,9,24999.808,192.0,2.169132,0.0
9,15,24999.808,192.0,1.872897,0.0
9,16,99999.856,144.0,2.100706,0.0
10,11,24999.807981,192.009601,2.051592,0.0
10,12,99999.808,192.0,1.087904,0.0
10,16,99999.807981,192.009601,1.246095,0.0
10,17,99999.808,192.0,1.245618,0.0
12,22,99999.808019,191.980802,1.416326,0.0
13,14,1549.807981,192.009601,1.432657,0.0
13,17,99999.808,192.0,1.486897,0.0
13,19,24999.807981,192.009601,1.369119,0.0
15,20,24999.808,192.0,0.884056,0.0
17,20,99999.808,192.0,1.539469,0.0
17,23,24999.808,192.0,1.418233,0.0
18,21,24999.808,191.990401,2.113223,0.0
20,22,24999.808,192.0,1.247406,0.0
