node1,node2,free_bw,used_bw,delay,pkloss
1,3,98227.00944,1772392.046596,2.365589,0.016958
1,7,99069.716811,930236.483743,0.725031,0.032062
1,16,99813.070898,186929.102229,2.22981,0.0
2,4,99877.722663,122277.337082,2.556801,0.0
2,7,99972.278341,27721.658801,4.481196,0.0
2,12,99831.026311,168965.206029,2.94137,0.0
2,13,99857.360916,142631.922838,2.561688,0.0
2,18,24883.695521,116304.478811,2.269745,0.0
2,23,24999.80721,192.790441,4.028201,0.0
3,10,98291.648925,1708351.074513,1.817465,0.0
3,11,24998.610163,1389.837317,2.376795,0.0
3,14,1527.063667,22936.332597,0.982523,0.0
3,21,99956.762402,43237.597911,1.115322,0.0
4,16,99877.710384,122289.616389,3.406167,0.0
5,8,24931.576622,68423.378188,1.126528,0.0
5,16,24931.576622,68423.378188,1.776218,0.0
6,7,1495.940952,54056.333921,0.835538,0.0
6,19,1549.855393,144.607351,0.996709,0.0
7,17,99146.41229,853587.709609,0.725865,0.034435
7,19,24999.80719,192.800121,0.926495,0.0
7,21,99932.773649,67219.601039,3.64089,0.0
8,9,24299.546094,699855.392649,3.517509,0.0
9,15,24999.80719,192.800121,2.9217,0.0
9,16,97707.499498,2292385.405186,3.238797,0.0
10,11,24997.413135,2586.864832,2.70319,0.0
10,12,99999.80719,192.800121,1.417041,0.0
10,16,97609.343242,2390034.143403,11.427045,0.012446
10,17,99279.269003,720168.671872,1.876235,0.0
12,22,99996.216108,3783.892348,0.860929,0.0
13,14,1528.262878,21737.122201,0.833988,0.0
13,17,99815.464953,184525.782461,1.152277,0.0
13,19,24999.80719,192.809801,0.96488,0.0
15,20,24998.610302,1389.697761,1.013398,0.0
17,20,99996.216488,3783.512401,1.028419,0.0
17,23,24999.80721,192.790441,1.106501,0.0
18,21,24991.427998,8572.00241,1.541615,0.0
20,22,24999.80719,192.800121,1.128078,0.0
