node1,node2,free_bw,used_bw,delay,pkloss
1,3,99649.430114,350552.362785,0.0,0.0
1,7,96811.845631,3187440.520897,2.784729,0.0
1,16,99911.639164,88347.584608,0.0,0.0
2,4,99913.975398,86016.00086,0.0,0.0
2,7,96806.759324,3192963.97233,0.0,0.009823
2,12,97105.342534,2894512.732873,0.0,0.0
2,13,99931.864,68129.187762,0.0,0.0
2,18,24776.904,222500.0,0.0,0.116414
2,23,24960.468047,39528.000395,0.0,0.704225
3,10,99815.084983,184905.774019,0.0,0.0
3,11,24840.111978,159308.011198,0.0,0.223214
3,14,1502.137572,47862.427514,0.0,10.0
3,21,99929.487051,70509.423763,0.0,0.0
4,16,99913.975398,86020.30123,0.355005,0.0
5,8,24999.807981,192.000002,0.069737,0.0
5,16,24999.807981,192.009601,0.0,0.0
6,7,1549.807981,191.990405,0.157833,0.0
6,19,1549.808038,191.961608,0.0,0.0
7,17,99989.077816,10920.546273,0.0,0.0
7,19,24996.231246,3767.811845,0.216722,0.0
7,21,99979.539908,20457.023311,0.0,0.0
8,9,24978.352,21646.917708,0.0,0.0
9,15,24992.655266,7344.367237,0.0,0.0
9,16,97086.56,2913440.0,0.0,0.0
10,11,24848.454309,150964.845431,0.0,0.230681
10,12,97226.938694,2772645.43011,0.0,0.010896
10,16,96978.692262,3020417.869226,0.0,0.020056
10,17,99924.727055,74684.472705,0.0,0.961538
12,22,99997.423742,2576.128813,0.0,0.0
13,14,1497.370526,52629.474105,0.0,0.0
13,17,99984.312,15686.431514,2.124548,0.0
13,19,24998.616277,1383.723255,0.0,0.0
15,20,24998.615723,1384.138428,0.0,0.0
17,20,99924.712,75284.235976,0.0,0.0
17,23,24961.660166,38337.916992,0.0,0.729927
18,21,24955.704,44296.0,0.0,0.0
20,22,24936.632,63368.0,0.0,1.587302
