node1,node2,free_bw,used_bw,delay,pkloss
1,3,95025.197921,4974553.463371,1.160145,0.0
1,7,99572.093953,427374.339225,1.025081,0.046707
1,16,99718.608557,281377.380882,1.064181,0.096805
2,4,99991.513697,8485.878552,1.415014,0.0
2,7,99965.246951,34751.312259,1.043558,0.0
2,12,99816.295111,183704.888533,0.989079,0.0
2,13,99992.658203,7341.430518,1.335382,0.0
2,18,24834.217735,165773.979521,0.887513,0.0
2,23,24986.746651,13252.686861,1.144528,0.0
3,10,96490.771691,3509052.934947,1.136065,0.008825
3,11,23598.576569,1400897.659531,0.93317,0.023004
3,14,1543.85046,6149.540184,1.238823,0.0
3,21,99443.366653,556605.528903,1.024246,0.0
4,16,99991.465707,8533.866555,0.947475,0.0
5,8,23680.659802,1318678.495612,0.791073,0.02301
5,16,23680.659802,1318678.495611,0.832081,0.0
6,7,1471.15177,78836.40903,1.047254,0.0
6,19,1547.425287,2574.712644,1.042008,0.0
7,17,99732.853429,267133.217363,1.015902,0.08071
7,19,24996.232753,3766.681746,1.011491,0.0
7,21,99797.208558,202761.038197,1.073837,0.0
8,9,24874.685594,125308.142463,1.423359,0.194175
9,15,24998.616277,1383.584938,1.1518,0.303951
9,16,96424.046381,3575953.618552,0.939846,0.0
10,11,23586.520044,1413409.310274,1.109004,0.02301
10,12,99967.63371,32364.672446,0.980735,0.0
10,16,95077.62495,4922375.04998,1.150727,0.018905
10,17,99736.455063,263531.764541,0.85938,0.0
12,22,99967.630474,32367.908104,0.872374,0.0
13,14,1546.233507,3766.493403,1.117945,0.0
13,17,99952.142357,47857.642707,1.019001,0.0
13,19,24944.998001,54999.250475,1.090288,0.0
15,20,24997.424258,2575.613664,1.259327,0.0
17,20,99995.040992,4958.760322,0.829577,0.290698
17,23,24986.69866,13300.674865,0.912786,0.0
18,21,24717.388783,282597.091724,1.242042,0.0
20,22,24999.808058,191.942417,1.05989,0.0
